,DATE,OrderNumber,Coord
123,12/11/2018,3781316,"[28.0, 9.0]"
124,12/11/2018,3781314,"[44.25, 12.0]"
125,12/11/2018,3781285,"[29.25, 10.5]"
126,12/11/2018,3781284,"[37.75, 16.5]"
127,12/11/2018,3781279,"[37.75, 13.5]"
128,12/11/2018,3781279,"[22.75, 12.0]"
129,12/11/2018,3781276,"[24, 13.5]"
130,12/11/2018,3781276,"[24, 13.5]"
131,12/11/2018,3781266,"[34.5, 21.0]"
132,12/11/2018,3781264,"[26, 10.5]"
133,12/11/2018,3781264,"[26, 13.5]"
134,12/11/2018,3781261,"[45.5, 16.5]"
135,12/11/2018,3781252,"[52.0, 9.0]"
136,12/11/2018,3781252,"[20.75, 9.0]"
137,12/11/2018,3781249,"[32.5, 18.0]"
138,12/11/2018,3781250,"[20.75, 12.0]"
139,12/11/2018,3781233,"[20.75, 22.5]"
140,12/11/2018,3781233,"[22.75, 12.0]"
141,12/11/2018,3781233,"[20.75, 12.0]"
142,12/11/2018,3781232,"[24, 21.0]"
143,12/11/2018,3781229,"[26, 15.0]"
144,12/11/2018,3781228,"[24, 19.5]"
145,12/11/2018,3781226,"[22.75, 13.5]"
146,12/11/2018,3781227,"[22.75, 13.5]"
147,12/11/2018,3781224,"[26, 21.0]"
148,12/11/2018,3781225,"[41.0, 15.0]"
149,12/11/2018,3781223,"[22.75, 12.0]"
150,12/11/2018,3781223,"[22.75, 12.0]"
151,12/11/2018,3781223,"[20.75, 12.0]"
152,12/11/2018,3781222,"[20.75, 12.0]"
153,12/11/2018,3781222,"[20.75, 12.0]"
154,12/11/2018,3781222,"[20.75, 12.0]"
155,12/11/2018,3781206,"[44.25, 21.0]"
156,12/11/2018,3781203,"[28.0, 9.0]"
157,12/11/2018,3781196,"[29.25, 13.5]"
158,12/11/2018,3781196,"[28.0, 16.5]"
159,12/11/2018,3781197,"[22.75, 13.5]"
160,12/11/2018,3781197,"[24, 9.0]"
161,12/11/2018,3781177,"[24, 21.0]"
162,12/11/2018,3781163,"[32.5, 15.0]"
163,12/11/2018,3781161,"[52.0, 13.5]"
164,12/11/2018,3781151,"[26, 6.0]"
165,12/11/2018,3781138,"[32.5, 6.0]"
166,12/11/2018,3781137,"[20.75, 15.0]"
167,12/11/2018,3781127,"[24, 12.0]"
168,12/11/2018,3781128,"[20.75, 10.5]"
169,12/3/2018,3756186,"[26, 6.0]"
170,12/3/2018,3755674,"[32.5, 12.0]"
171,12/3/2018,3755671,"[31.25, 12.0]"
172,12/3/2018,3755612,"[42.25, 15.0]"
173,12/3/2018,3755610,"[22.75, 15.0]"
174,12/3/2018,3755572,"[24, 12.0]"
175,12/3/2018,3755561,"[24, 15.0]"
176,12/3/2018,3755548,"[22.75, 15.0]"
177,12/3/2018,3755539,"[22.75, 13.5]"
178,12/3/2018,3755497,"[24, 9.0]"
179,12/3/2018,3755477,"[22.75, 22.5]"
180,12/3/2018,3755477,"[20.75, 6.0]"
181,12/3/2018,3755477,"[28.0, 6.0]"
182,12/3/2018,3755477,"[20.75, 10.5]"
183,12/3/2018,3755460,"[28.0, 15.0]"
184,12/3/2018,3755460,"[42.25, 9.0]"
185,12/3/2018,3755366,"[41.0, 15.0]"
186,12/3/2018,3755339,"[50.75, 9.0]"
187,12/3/2018,3755347,"[26, 6.0]"
188,12/3/2018,3755252,"[26, 6.0]"
189,12/3/2018,3755235,"[44.25, 21.0]"
190,12/3/2018,3755230,"[22.75, 13.5]"
191,12/3/2018,3755231,"[41.0, 10.5]"
192,12/3/2018,3755222,"[22.75, 13.5]"
193,12/3/2018,3755145,"[24, 13.5]"
194,12/3/2018,3755100,"[22.75, 6.0]"
195,12/3/2018,3755094,"[24, 6.0]"
196,12/3/2018,3755094,"[22.75, 13.5]"
197,12/3/2018,3755086,"[28.0, 16.5]"
198,12/3/2018,3755066,"[44.25, 21.0]"
199,12/3/2018,3755031,"[19.5, 13.5]"
200,12/3/2018,3754998,"[48.75, 12.0]"
201,12/3/2018,3754996,"[37.75, 12.0]"
202,12/3/2018,3754996,"[35.75, 21.0]"
203,12/3/2018,3754979,"[45.5, 16.5]"
204,12/3/2018,3754973,"[39.0, 12.0]"
205,12/3/2018,3754968,"[39.0, 9.0]"
206,12/3/2018,3754889,"[32.5, 12.0]"
207,12/3/2018,3754850,"[44.25, 21.0]"
208,12/3/2018,3754855,"[20.75, 6.0]"
209,12/3/2018,3754843,"[20.75, 6.0]"
210,12/3/2018,3754774,"[22.75, 13.5]"
211,12/3/2018,3754768,"[22.75, 21.0]"
212,12/3/2018,3754768,"[15.25, 21.0]"
213,12/3/2018,3754477,"[37.75, 13.5]"
214,12/3/2018,3754477,"[22.75, 12.0]"
215,12/3/2018,3754278,"[24, 6.0]"
216,12/3/2018,3754170,"[26, 21.0]"
217,12/3/2018,3753607,"[24, 21.0]"
218,12/3/2018,3753570,"[20.75, 18.0]"
219,12/3/2018,3757349,"[22.75, 19.5]"
220,12/3/2018,3757334,"[24, 10.5]"
221,12/3/2018,3757324,"[22.75, 9.0]"
222,12/3/2018,3757129,"[50.75, 9.0]"
223,12/3/2018,3757167,"[41.0, 13.5]"
224,12/3/2018,3757011,"[41.0, 15.0]"
225,12/3/2018,3757006,"[42.25, 15.0]"
226,12/3/2018,3756999,"[42.25, 13.5]"
227,12/3/2018,3756999,"[42.25, 10.5]"
228,12/3/2018,3756997,"[19.5, 12.0]"
229,12/3/2018,3756990,"[15.25, 10.5]"
230,12/3/2018,3756990,"[22.75, 12.0]"
231,12/3/2018,3756988,"[32.5, 6.0]"
232,12/3/2018,3756985,"[32.5, 21.0]"
233,12/3/2018,3756981,"[32.5, 6.0]"
234,12/3/2018,3756976,"[42.25, 12.0]"
235,12/3/2018,3756976,"[42.25, 12.0]"
236,12/3/2018,3756953,"[44.25, 21.0]"
237,12/3/2018,3756959,"[41.0, 15.0]"
238,12/3/2018,3756942,"[41.0, 13.5]"
239,12/3/2018,3756934,"[48.75, 6.0]"
240,12/3/2018,3756837,"[24, 9.0]"
241,12/3/2018,3756832,"[24, 9.0]"
242,12/3/2018,3756825,"[22.75, 13.5]"
243,12/3/2018,3756826,"[26, 15.0]"
244,12/3/2018,3756822,"[29.25, 13.5]"
245,12/3/2018,3756819,"[22.75, 10.5]"
246,12/3/2018,3756804,"[50.75, 9.0]"
247,12/3/2018,3756804,"[52.0, 13.5]"
248,12/3/2018,3756799,"[22.75, 10.5]"
249,12/3/2018,3756711,"[24, 9.0]"
250,12/3/2018,3756444,"[24, 13.5]"
251,12/3/2018,3755622,"[24, 10.5]"
252,12/3/2018,3755622,"[20.75, 22.5]"
253,12/3/2018,3755617,"[37.75, 13.5]"
254,12/3/2018,3755617,"[22.75, 12.0]"
255,12/3/2018,3755565,"[20.75, 22.5]"
256,12/3/2018,3755541,"[20.75, 22.5]"
257,12/3/2018,3755540,"[37.75, 18.0]"
258,12/3/2018,3755531,"[22.75, 15.0]"
259,12/3/2018,3755444,"[24, 9.0]"
260,12/3/2018,3755399,"[24, 6.0]"
261,12/3/2018,3755406,"[22.75, 13.5]"
262,12/3/2018,3755395,"[22.75, 13.5]"
263,12/3/2018,3755318,"[31.25, 10.5]"
264,12/3/2018,3755311,"[41.0, 9.0]"
265,12/3/2018,3755309,"[42.25, 10.5]"
266,12/3/2018,3755305,"[24, 18.0]"
267,12/3/2018,3755305,"[28.0, 22.5]"
268,12/3/2018,3755304,"[20.75, 12.0]"
269,12/3/2018,3755300,"[45.5, 10.5]"
270,12/3/2018,3755301,"[41.0, 19.5]"
271,12/3/2018,3755289,"[22.75, 12.0]"
272,12/3/2018,3755289,"[20.75, 12.0]"
273,12/3/2018,3755289,"[20.75, 12.0]"
274,12/3/2018,3755289,"[20.75, 12.0]"
275,12/3/2018,3755275,"[24, 13.5]"
276,12/3/2018,3755272,"[42.25, 15.0]"
277,12/3/2018,3755272,"[41.0, 15.0]"
278,12/3/2018,3755272,"[41.0, 19.5]"
279,12/3/2018,3755264,"[37.75, 13.5]"
280,12/3/2018,3755264,"[22.75, 12.0]"
281,12/3/2018,3755250,"[22.75, 13.5]"
282,12/3/2018,3755229,"[22.75, 16.5]"
283,12/3/2018,3755229,"[22.75, 18.0]"
284,12/3/2018,3755229,"[20.75, 9.0]"
285,12/3/2018,3755236,"[26, 6.0]"
286,12/3/2018,3755185,"[45.5, 16.5]"
287,12/3/2018,3756465,"[22.75, 13.5]"
288,12/3/2018,3755155,"[20.75, 18.0]"
289,12/3/2018,3755131,"[44.25, 9.0]"
290,12/3/2018,3755129,"[24, 21.0]"
291,12/3/2018,3755125,"[26, 6.0]"
292,12/3/2018,3755093,"[24, 13.5]"
293,12/3/2018,3755093,"[22.75, 18.0]"
294,12/3/2018,3755120,"[24, 19.5]"
295,12/3/2018,3755087,"[22.75, 16.5]"
296,12/3/2018,3755081,"[24, 16.5]"
297,12/3/2018,3755079,"[24, 21.0]"
298,12/3/2018,3755080,"[44.25, 12.0]"
299,12/3/2018,3754773,"[22.75, 13.5]"
300,12/3/2018,3754662,"[24, 9.0]"
301,12/3/2018,3754681,"[24, 16.5]"
302,12/3/2018,3754681,"[26, 16.5]"
303,12/3/2018,3754681,"[20.75, 22.5]"
304,12/3/2018,3754448,"[39.0, 15.0]"
305,12/3/2018,3754448,"[15.25, 12.0]"
306,12/3/2018,3754448,"[20.75, 16.5]"
307,12/3/2018,3754491,"[20.75, 10.5]"
308,12/3/2018,3754167,"[26, 15.0]"
309,12/3/2018,3753682,"[47.5, 22.5]"
